date,market,customer_code,product_code,channel,gross_sales_amount,return_sales_amount,signed_sales_amount
2020-02-01,Indonesia,90003180,A2918150106,Retailer,1191.65,0.0,1191.65
2020-02-01,Indonesia,90003180,A2918150104,Retailer,1125.68,0.0,1125.68
2020-02-01,Indonesia,90003180,A2918150101,Retailer,451.03,0.0,451.03
2020-02-01,Indonesia,90003180,A2918150102,Retailer,553.4,0.0,553.4
2020-02-01,Indonesia,90003180,A3220150405,Retailer,368.74,0.0,368.74
2020-02-01,Indonesia,90003180,A3220150406,Retailer,504.98,0.0,504.98
2020-02-01,Indonesia,90003180,A3220150404,Retailer,938.77,0.0,938.77
2020-02-01,Indonesia,90003180,A3220150402,Retailer,0.0,2158.99,-2158.99
2020-02-01,Indonesia,90003180,A3220150401,Retailer,1475.03,0.0,1475.03
2020-02-01,Indonesia,90003180,A3320150504,Retailer,1905.99,0.0,1905.99
2020-02-01,Indonesia,90003180,A3320150502,Retailer,0.0,2580.55,-2580.55
2020-02-01,Indonesia,90003180,A3320150501,Retailer,0.0,399.26,-399.26
2020-02-01,Indonesia,90003180,A2419150404,Retailer,1856.62,0.0,1856.62
2020-02-01,Indonesia,90003180,A2419150405,Retailer,0.0,2071.18,-2071.18
2020-02-01,Indonesia,90003180,A2419150401,Retailer,336.28,0.0,336.28
2020-02-01,Indonesia,90003180,A2420150406,Retailer,1661.61,0.0,1661.61
2020-02-01,Indonesia,90003180,A2419150402,Retailer,207.17,0.0,207.17
2020-02-01,Indonesia,90003180,A2319150301,Retailer,0.0,224.19,-224.19
2020-02-01,Indonesia,90003180,A2319150304,Retailer,525.53,0.0,525.53
2020-02-01,Indonesia,90003180,A2319150305,Retailer,838.74,0.0,838.74
2020-02-01,Indonesia,90003180,A2319150306,Retailer,1473.7,0.0,1473.7
2020-02-01,Indonesia,90003180,A2319150302,Retailer,593.72,0.0,593.72
2020-02-01,Indonesia,90003180,A2118150105,Retailer,640.42,0.0,640.42
2020-02-01,Indonesia,90003180,A2118150104,Retailer,85.38,0.0,85.38
2020-02-01,Indonesia,90003180,A2118150101,Retailer,0.0,340.77,-340.77
2020-02-01,Indonesia,90003180,A2118150102,Retailer,64.75,0.0,64.75
2020-02-01,Indonesia,90003180,A2118150106,Retailer,907.78,0.0,907.78
2020-02-01,Indonesia,90003180,A2218150201,Retailer,207.8,0.0,207.8
2020-02-01,Indonesia,90003180,A3019150205,Retailer,269.22,0.0,269.22
2020-02-01,Indonesia,90003180,A3018150201,Retailer,571.8,0.0,571.8
2020-02-01,Indonesia,90003180,A3019150204,Retailer,1111.01,0.0,1111.01
2020-02-01,Indonesia,90003180,A3019150206,Retailer,1672.77,0.0,1672.77
2020-02-01,Indonesia,90003180,A3018150202,Retailer,1278.48,0.0,1278.48
2020-02-01,Indonesia,90003180,A3120150305,Retailer,433.07,0.0,433.07
2020-02-01,Indonesia,90003180,A3120150306,Retailer,2245.73,0.0,2245.73
2020-02-01,Indonesia,90003180,A3119150302,Retailer,1286.8,0.0,1286.8
2020-02-01,Indonesia,90003180,A3119150301,Retailer,1321.27,0.0,1321.27
2020-02-01,Indonesia,90003180,A3120150304,Retailer,464.44,0.0,464.44
2020-02-01,Indonesia,90003180,A2918150105,Retailer,176.38,0.0,176.38
2020-02-01,Indonesia,90003180,A2218150202,Retailer,873.16,0.0,873.16
2020-02-01,Indonesia,90003180,A2219150204,Retailer,1103.71,0.0,1103.71
2020-02-01,Indonesia,90003180,A2219150205,Retailer,0.0,725.13,-725.13
2020-02-01,Indonesia,90003180,A2219150206,Retailer,769.78,0.0,769.78
2020-02-01,Indonesia,90003180,A0519150208,Retailer,771.17,0.0,771.17
2020-02-01,Indonesia,90003180,A0519150207,Retailer,109.45,0.0,109.45
2020-02-01,Indonesia,90003180,A0519150202,Retailer,165.79,0.0,165.79
2020-02-01,Indonesia,90003180,A0519150201,Retailer,439.19,0.0,439.19
2020-02-01,Indonesia,90003180,A0519150203,Retailer,574.59,0.0,574.59
2020-02-01,Indonesia,90003180,A0519150205,Retailer,577.93,0.0,577.93
2020-02-01,Indonesia,90003180,A0418150105,Retailer,0.0,63.36,-63.36
2020-02-01,Indonesia,90003180,A0418150103,Retailer,246.17,0.0,246.17
2020-02-01,Indonesia,90003180,A0418150101,Retailer,399.57,0.0,399.57
2020-02-01,Indonesia,90003180,A0418150102,Retailer,70.41,0.0,70.41
2020-02-01,Indonesia,90003180,A0418150107,Retailer,555.8,0.0,555.8
2020-02-01,Indonesia,90003180,A0418150108,Retailer,270.34,0.0,270.34
2020-02-01,Indonesia,90003180,A0619150301,Retailer,448.8,0.0,448.8
2020-02-01,Indonesia,90003180,A0619150302,Retailer,912.31,0.0,912.31
2020-02-01,Indonesia,90003180,A0621150308,Retailer,578.26,0.0,578.26
2020-02-01,Indonesia,90003180,A0620150305,Retailer,942.74,0.0,942.74
2020-02-01,Indonesia,90003180,A0621150307,Retailer,913.41,0.0,913.41
