date,product_code,market,opening_stock_units,received_units,closing_stock_units,stockout_flag,stockout_hours
2018-09-01,A5721110508,China,27,19,47,0,0
2018-09-01,A5721110508,Indonesia,23,19,42,0,0
2018-09-01,A5721110508,South Korea,28,12,40,0,0
2018-09-01,A5721110508,Sweden,26,13,40,0,0
2018-09-01,A5721110508,Pakistan,19,20,39,0,0
2018-09-01,A5721110508,Bangladesh,30,16,46,0,0
2018-09-01,A5721110508,Philiphines,27,20,47,0,0
2018-09-01,A5721110508,Australia,27,13,40,0,0
2018-09-01,A5721110508,Newzealand,20,20,40,0,0
2018-09-01,A5721110508,Austria,23,15,39,0,0
2018-09-01,A5721110508,Poland,22,16,38,0,0
2018-09-01,A5721110508,Norway,29,14,43,0,0
2018-09-01,A5721110508,Netherlands,26,18,44,0,0
2018-09-01,A5721110508,Japan,28,21,49,0,0
2018-09-01,A5721110508,France,23,13,36,0,0
2018-09-01,A5721110508,Canada,21,19,40,0,0
2018-09-01,A5721110508,Germany,25,12,37,0,0
2018-09-01,A5721110508,United Kingdom,19,19,37,0,0
2018-09-01,A5721110508,Spain,28,15,43,0,0
2018-09-01,A5721110508,Italy,26,16,42,0,0
2018-09-01,A5721110508,Portugal,27,19,46,0,0
2018-09-01,A5721110508,USA,22,19,42,0,0
2018-09-01,A5721110508,India,30,23,52,0,0
2018-09-01,A5721110507,China,29,12,41,0,0
2018-09-01,A5721110507,Indonesia,27,12,39,0,0
2018-09-01,A5721110507,South Korea,20,19,40,0,0
2018-09-01,A5721110507,Sweden,24,18,42,0,0
2018-09-01,A5721110507,Pakistan,19,21,40,0,0
2018-09-01,A5721110507,Bangladesh,20,18,38,0,0
2018-09-01,A5721110507,Philiphines,26,13,40,0,0
2018-09-01,A5721110507,Australia,27,15,42,0,0
2018-09-01,A5721110507,Newzealand,30,21,51,0,0
2018-09-01,A5721110507,Austria,22,14,36,0,0
2018-09-01,A5721110507,Poland,22,22,45,0,0
2018-09-01,A5721110507,Norway,24,19,43,0,0
2018-09-01,A5721110507,Netherlands,20,22,42,0,0
2018-09-01,A5721110507,Japan,20,19,38,0,0
2018-09-01,A5721110507,France,24,22,45,0,0
2018-09-01,A5721110507,Canada,21,19,39,0,0
2018-09-01,A5721110507,Germany,26,20,46,0,0
2018-09-01,A5721110507,United Kingdom,23,17,40,0,0
2018-09-01,A5721110507,Spain,28,18,46,0,0
2018-09-01,A5721110507,Italy,26,12,38,0,0
2018-09-01,A5721110507,Portugal,22,17,38,0,0
2018-09-01,A5721110507,USA,28,22,50,0,0
2018-09-01,A5721110507,India,28,12,40,0,0
2018-09-01,A5721110505,China,23,17,40,0,0
2018-09-01,A5721110505,Indonesia,21,15,36,0,0
2018-09-01,A5721110505,South Korea,26,15,42,0,0
2018-09-01,A5721110505,Sweden,20,13,32,0,0
2018-09-01,A5721110505,Pakistan,20,23,43,0,0
2018-09-01,A5721110505,Bangladesh,18,13,31,0,0
2018-09-01,A5721110505,Philiphines,27,17,44,0,0
2018-09-01,A5721110505,Australia,26,20,46,0,0
2018-09-01,A5721110505,Newzealand,26,14,40,0,0
2018-09-01,A5721110505,Austria,27,15,43,0,0
2018-09-01,A5721110505,Poland,24,20,43,0,0
2018-09-01,A5721110505,Norway,25,18,43,0,0
2018-09-01,A5721110505,Netherlands,20,12,32,0,0
2018-09-01,A5721110505,Japan,19,18,37,0,0
2018-09-01,A5721110505,France,26,11,37,0,0
2018-09-01,A5721110505,Canada,24,22,46,0,0
2018-09-01,A5721110505,Germany,25,13,38,0,0
2018-09-01,A5721110505,United Kingdom,27,16,44,0,0
2018-09-01,A5721110505,Spain,26,15,41,0,0
2018-09-01,A5721110505,Italy,25,17,42,0,0
