call_id,date,customer_code,product_code,market,sales_rep,duration_minutes,transcript,outcome
CALL000001,2019-01-01,90005159,A2118150102,Pakistan,Rep-25,7,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000002,2019-01-01,90023029,A0418150103,Canada,Rep-29,15,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000003,2019-11-01,90014135,A3420150601,Netherlands,Rep-22,7,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000004,2020-06-01,70010048,A5519110303,Bangladesh,Rep-28,11,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000005,2020-02-01,90010045,A6818160201,Bangladesh,Rep-07,19,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000006,2020-07-01,90020097,A5621110405,Austria,Rep-02,7,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000007,2019-05-01,90023025,A4419110405,Canada,Rep-01,7,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000008,2020-07-01,70023032,A7321160302,Canada,Rep-01,7,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000009,2020-01-01,90017057,A3920150305,Portugal,Rep-14,25,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000010,2020-02-01,90012037,A6319160202,Germany,Rep-11,19,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000011,2020-05-01,90014140,A6219160103,Netherlands,Rep-16,12,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000012,2020-02-01,90015144,A4218110206,Norway,Rep-12,5,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000013,2020-05-01,90019202,A0118150102,Sweden,Rep-22,22,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000014,2021-01-01,70009134,A2520150505,Newzealand,Rep-22,16,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000015,2019-02-01,90017055,A4218110208,Portugal,Rep-18,16,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000016,2019-09-01,90006153,A3420150602,Philiphines,Rep-23,22,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000017,2019-01-01,90008166,A5419110207,Australia,Rep-07,4,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000018,2021-06-01,90003180,A2319150306,Indonesia,Rep-01,21,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000019,2019-05-01,80001019,A4419110405,China,Rep-18,24,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000020,2021-04-01,90021091,A2721150706,United Kingdom,Rep-14,27,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000021,2020-12-01,90014139,A0619150301,Netherlands,Rep-01,14,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000022,2020-08-01,90012039,A2118150106,Germany,Rep-22,22,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000023,2020-04-01,80001019,A4118110105,China,Rep-28,27,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000024,2019-03-01,90008167,A4519110501,Australia,Rep-12,24,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000025,2021-06-01,70007199,A4218110207,South Korea,Rep-16,12,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000026,2020-05-01,90022079,A7321160302,USA,Rep-28,27,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000027,2020-07-01,90020100,A2918150105,Austria,Rep-17,5,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000028,2019-12-01,90018113,A2620150601,Spain,Rep-27,18,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000029,2019-05-01,70010047,A5419110201,Bangladesh,Rep-23,22,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000030,2018-12-01,90014136,A4821110804,Netherlands,Rep-11,28,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000031,2019-11-01,90002002,A5519110304,India,Rep-17,27,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000032,2020-11-01,70016178,A5519110301,Poland,Rep-20,24,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000033,2018-11-01,90009132,A5519110304,Newzealand,Rep-14,6,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000034,2018-11-01,90022082,A5621110408,USA,Rep-02,7,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000035,2020-03-01,90019202,A5621110404,Sweden,Rep-19,25,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000036,2021-01-01,90022071,A5318110104,USA,Rep-12,12,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000037,2019-03-01,90018107,A3920150301,Spain,Rep-05,9,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000038,2020-04-01,70022085,A6219160103,USA,Rep-28,24,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000039,2021-07-01,90015148,A1819150301,Norway,Rep-13,27,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000040,2019-10-01,90022081,A5721110505,USA,Rep-26,4,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000041,2021-05-01,90002015,A5520110305,India,Rep-13,22,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000042,2020-05-01,90008165,A2721150705,Australia,Rep-18,23,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000043,2021-01-01,90014140,A5621110408,Netherlands,Rep-20,7,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000044,2021-04-01,70008170,A3521150701,Australia,Rep-04,18,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000045,2019-09-01,90002007,A3120150304,India,Rep-17,21,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000046,2019-11-01,90022078,A2420150406,USA,Rep-01,19,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000047,2018-10-01,90016171,A1919150403,Poland,Rep-19,14,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000048,2020-02-01,90016171,A6718160102,Poland,Rep-06,16,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000049,2021-03-01,90009128,A4419110407,Newzealand,Rep-19,17,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000050,2021-03-01,90011189,A6019110108,France,Rep-16,14,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000051,2021-01-01,90023027,A4218110201,Canada,Rep-12,9,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000052,2020-05-01,90019200,A0721150404,Sweden,Rep-29,19,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000053,2021-06-01,70022084,A5318110107,USA,Rep-25,14,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000054,2020-06-01,80006154,A5721110508,Philiphines,Rep-21,29,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000055,2019-10-01,90010045,A3320150504,Bangladesh,Rep-03,19,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000056,2019-10-01,90019202,A4218110202,Sweden,Rep-23,22,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000057,2019-12-01,70009133,A6419160301,Newzealand,Rep-30,6,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000058,2020-11-01,90008166,A0921150603,Australia,Rep-21,6,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000059,2020-08-01,90023028,A3920150301,Canada,Rep-28,30,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000060,2020-02-01,70002017,A2721150704,India,Rep-11,23,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000061,2018-12-01,90012033,A2419150402,Germany,Rep-14,20,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000062,2020-12-01,90004064,A4821110801,Japan,Rep-23,28,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000063,2020-06-01,70015151,A0620150305,Norway,Rep-10,23,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000064,2020-03-01,90023028,A0721150403,Canada,Rep-02,15,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000065,2019-11-01,70015152,A4520110506,Norway,Rep-18,7,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
