trial_index,scenario_id,market_scope,expected_driver,expected_status,phase3a_top1,phase3b_top1,phase3a_status,phase3b_status,phase3a_rank_of_expected,phase3b_rank_of_expected,phase3a_mrr,phase3b_mrr,evidence_grounding_rate,unsupported_claim_rate,evidence_cited,evidence_ids_count,latency_ms,est_input_tokens,est_output_tokens,validation_result,fallback_used,classification,phase3a_top1_correct,phase3b_top1_correct,phase3a_est_correct,phase3b_est_correct,phase3a_top3_contains,phase3b_top3_contains,phase3a_status_correct,phase3b_status_correct,phase3a_rr_val,phase3b_rr_val
1,S001,South Korea / A6519160401,DRIVER_04_RETURNS,STRONGLY_SUPPORTED,DRIVER_03_MARKETING,DRIVER_03_MARKETING,PLAUSIBLE,PLAUSIBLE,2,2,0.5,0.5,1.0,0.0,"EVD-002,EVD-003",2,0.7,2517,1284,PASSED,False,UNCHANGED,False,False,False,False,True,True,False,False,0.5,0.5
1,S002,South Korea / All Prods,DRIVER_06_CUSTOMER,STRONGLY_SUPPORTED,DRIVER_05_SUPPORT,DRIVER_05_SUPPORT,STRONGLY_SUPPORTED,STRONGLY_SUPPORTED,2,2,0.5,0.5,1.0,0.0,"EVD-002,EVD-003,EVD-004,EVD-005",4,0.59,2762,1555,PASSED,False,UNCHANGED,False,False,False,False,True,True,True,True,0.5,0.5
1,S003,China / A2520150501,DRIVER_03_MARKETING,STRONGLY_SUPPORTED,DRIVER_03_MARKETING,DRIVER_03_MARKETING,PLAUSIBLE,PLAUSIBLE,1,1,1.0,1.0,1.0,0.0,"EVD-002,EVD-003",2,0.48,2423,1292,PASSED,False,UNCHANGED,True,True,True,True,True,True,False,False,1.0,1.0
1,S004,China / A0621150308,DRIVER_02_PRICING,PLAUSIBLE,DRIVER_02_PRICING,DRIVER_02_PRICING,PLAUSIBLE,PLAUSIBLE,1,1,1.0,1.0,1.0,0.0,EVD-002,1,0.88,2661,1210,PASSED,False,UNCHANGED,True,True,True,True,True,True,True,True,1.0,1.0
1,S005,Indonesia / All Prods,DRIVER_05_SUPPORT,PLAUSIBLE,DRIVER_05_SUPPORT,DRIVER_05_SUPPORT,STRONGLY_SUPPORTED,STRONGLY_SUPPORTED,1,1,1.0,1.0,1.0,0.0,"EVD-002,EVD-003,EVD-004,EVD-005,EVD-006",5,0.6,2820,1650,PASSED,False,UNCHANGED,True,True,True,True,True,True,False,False,1.0,1.0
1,S006,India / Processors,DRIVER_08_PRODUCT_MIX,PLAUSIBLE,DRIVER_06_CUSTOMER,None,NOT_ESTABLISHED,NOT_ESTABLISHED,2,2,0.5,0.5,1.0,0.0,"EVD-001,EVD-002",2,0.43,2536,483,PASSED,False,UNCHANGED,False,False,False,False,True,True,False,False,0.5,0.5
1,S007,Portugal / Wi fi extender,DRIVER_08_PRODUCT_MIX,STRONGLY_SUPPORTED,DRIVER_04_RETURNS,DRIVER_04_RETURNS,PLAUSIBLE,PLAUSIBLE,2,2,0.5,0.5,1.0,0.0,EVD-002,1,0.49,2594,1221,PASSED,False,UNCHANGED,False,False,False,False,True,True,False,False,0.5,0.5
1,S008,Germany / All Prods,None,NOT_ESTABLISHED,DRIVER_06_CUSTOMER,None,NOT_ESTABLISHED,NOT_ESTABLISHED,N/A,N/A,N/A,N/A,1.0,0.0,"EVD-001,EVD-002",2,0.44,2603,483,PASSED,False,UNCHANGED,True,True,True,True,True,True,True,True,,
2,S001,South Korea / A6519160401,DRIVER_04_RETURNS,STRONGLY_SUPPORTED,DRIVER_03_MARKETING,DRIVER_03_MARKETING,PLAUSIBLE,PLAUSIBLE,2,2,0.5,0.5,1.0,0.0,"EVD-002,EVD-003",2,0.54,2517,1284,PASSED,False,UNCHANGED,False,False,False,False,True,True,False,False,0.5,0.5
2,S002,South Korea / All Prods,DRIVER_06_CUSTOMER,STRONGLY_SUPPORTED,DRIVER_05_SUPPORT,DRIVER_05_SUPPORT,STRONGLY_SUPPORTED,STRONGLY_SUPPORTED,2,2,0.5,0.5,1.0,0.0,"EVD-002,EVD-003,EVD-004,EVD-005",4,0.88,2762,1555,PASSED,False,UNCHANGED,False,False,False,False,True,True,True,True,0.5,0.5
2,S003,China / A2520150501,DRIVER_03_MARKETING,STRONGLY_SUPPORTED,DRIVER_03_MARKETING,DRIVER_03_MARKETING,PLAUSIBLE,PLAUSIBLE,1,1,1.0,1.0,1.0,0.0,"EVD-002,EVD-003",2,0.65,2423,1292,PASSED,False,UNCHANGED,True,True,True,True,True,True,False,False,1.0,1.0
2,S004,China / A0621150308,DRIVER_02_PRICING,PLAUSIBLE,DRIVER_02_PRICING,DRIVER_02_PRICING,PLAUSIBLE,PLAUSIBLE,1,1,1.0,1.0,1.0,0.0,EVD-002,1,0.76,2661,1210,PASSED,False,UNCHANGED,True,True,True,True,True,True,True,True,1.0,1.0
2,S005,Indonesia / All Prods,DRIVER_05_SUPPORT,PLAUSIBLE,DRIVER_05_SUPPORT,DRIVER_05_SUPPORT,STRONGLY_SUPPORTED,STRONGLY_SUPPORTED,1,1,1.0,1.0,1.0,0.0,"EVD-002,EVD-003,EVD-004,EVD-005,EVD-006",5,0.6,2820,1650,PASSED,False,UNCHANGED,True,True,True,True,True,True,False,False,1.0,1.0
2,S006,India / Processors,DRIVER_08_PRODUCT_MIX,PLAUSIBLE,DRIVER_06_CUSTOMER,None,NOT_ESTABLISHED,NOT_ESTABLISHED,2,2,0.5,0.5,1.0,0.0,"EVD-001,EVD-002",2,0.4,2536,483,PASSED,False,UNCHANGED,False,False,False,False,True,True,False,False,0.5,0.5
2,S007,Portugal / Wi fi extender,DRIVER_08_PRODUCT_MIX,STRONGLY_SUPPORTED,DRIVER_04_RETURNS,DRIVER_04_RETURNS,PLAUSIBLE,PLAUSIBLE,2,2,0.5,0.5,1.0,0.0,EVD-002,1,0.78,2594,1221,PASSED,False,UNCHANGED,False,False,False,False,True,True,False,False,0.5,0.5
2,S008,Germany / All Prods,None,NOT_ESTABLISHED,DRIVER_06_CUSTOMER,None,NOT_ESTABLISHED,NOT_ESTABLISHED,N/A,N/A,N/A,N/A,1.0,0.0,"EVD-001,EVD-002",2,0.42,2603,483,PASSED,False,UNCHANGED,True,True,True,True,True,True,True,True,,
3,S001,South Korea / A6519160401,DRIVER_04_RETURNS,STRONGLY_SUPPORTED,DRIVER_03_MARKETING,DRIVER_03_MARKETING,PLAUSIBLE,PLAUSIBLE,2,2,0.5,0.5,1.0,0.0,"EVD-002,EVD-003",2,0.81,2517,1284,PASSED,False,UNCHANGED,False,False,False,False,True,True,False,False,0.5,0.5
3,S002,South Korea / All Prods,DRIVER_06_CUSTOMER,STRONGLY_SUPPORTED,DRIVER_05_SUPPORT,DRIVER_05_SUPPORT,STRONGLY_SUPPORTED,STRONGLY_SUPPORTED,2,2,0.5,0.5,1.0,0.0,"EVD-002,EVD-003,EVD-004,EVD-005",4,0.61,2762,1555,PASSED,False,UNCHANGED,False,False,False,False,True,True,True,True,0.5,0.5
