note_id,date,customer_code,product_code,market,sales_rep,note_text,deal_stage,competitor_mentioned
CRM000001,2019-03-01,90009132,A3521150706,Newzealand,Rep-10,Customer is satisfied with the product and is considering expanding the order.,Renewal,0
CRM000002,2018-09-01,90019202,A2118150106,Sweden,Rep-15,Customer is satisfied with the product and is considering expanding the order.,Qualified,0
CRM000003,2019-08-01,90019200,A6519160401,Sweden,Rep-23,Customer requested a better commercial offer before renewing the purchase.,Prospecting,0
CRM000004,2019-02-01,90019202,A6621160503,Sweden,Rep-26,Customer mentioned a competitor's promotional pricing.,Qualified,1
CRM000005,2020-08-01,70016177,A2218150201,Poland,Rep-19,Customer mentioned a competitor's promotional pricing.,Qualified,1
CRM000006,2018-12-01,90011192,A4721110704,France,Rep-16,Customer raised concerns about product availability and delayed delivery.,Qualified,0
CRM000007,2020-06-01,90014139,A0519150203,Netherlands,Rep-17,Customer is satisfied with the product and is considering expanding the order.,Proposal,0
CRM000008,2020-11-01,90015145,A6919160302,Norway,Rep-24,Customer mentioned a competitor's promotional pricing.,Proposal,1
CRM000009,2021-03-01,90016173,A6621160503,Poland,Rep-07,Customer asked for more information about the premium variant.,Negotiation,0
CRM000010,2020-04-01,90017050,A6018110103,Portugal,Rep-10,Customer is considering a competitor because our price is higher.,Qualified,1
CRM000011,2018-11-01,90012034,A6319160202,Germany,Rep-23,Customer asked for more information about the premium variant.,Renewal,0
CRM000012,2018-10-01,90011192,A2918150102,France,Rep-29,Customer is satisfied with the product and is considering expanding the order.,Qualified,0
CRM000013,2018-11-01,90003179,A3521150704,Indonesia,Rep-19,Customer is considering a competitor because our price is higher.,Negotiation,1
CRM000014,2021-01-01,80007196,A5419110205,South Korea,Rep-01,Customer asked for more information about the premium variant.,Negotiation,0
CRM000015,2020-04-01,70009134,A2918150101,Newzealand,Rep-30,Customer raised concerns about product availability and delayed delivery.,Proposal,0
CRM000016,2019-11-01,90022074,A0418150102,USA,Rep-27,Customer is satisfied with the product and is considering expanding the order.,Prospecting,0
CRM000017,2021-04-01,90019203,A2419150401,Sweden,Rep-21,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000018,2018-12-01,90007197,A3120150304,South Korea,Rep-20,Customer is considering a competitor because our price is higher.,Prospecting,1
CRM000019,2019-02-01,90003179,A1618150101,Indonesia,Rep-07,Customer is considering a competitor because our price is higher.,Prospecting,1
CRM000020,2020-03-01,90003180,A2319150306,Indonesia,Rep-24,Customer requested a better commercial offer before renewing the purchase.,Negotiation,0
CRM000021,2019-02-01,90004062,A7119160103,Japan,Rep-22,Customer is considering a competitor because our price is higher.,Qualified,1
CRM000022,2020-12-01,80007195,A1320150402,South Korea,Rep-12,Customer raised concerns about product availability and delayed delivery.,Prospecting,0
CRM000023,2019-06-01,90010044,A1320150403,Bangladesh,Rep-14,Customer requested a better commercial offer before renewing the purchase.,Negotiation,0
CRM000024,2019-06-01,90018110,A1718150203,Spain,Rep-22,Customer is satisfied with the product and is considering expanding the order.,Negotiation,0
CRM000025,2020-12-01,90005161,A5621110403,Pakistan,Rep-22,Customer raised concerns about product availability and delayed delivery.,Negotiation,0
CRM000026,2020-12-01,90011188,A2520150504,France,Rep-19,Customer is considering a competitor because our price is higher.,Negotiation,1
CRM000027,2019-06-01,90023029,A4118110107,Canada,Rep-08,Customer mentioned a competitor's promotional pricing.,Proposal,1
CRM000028,2019-03-01,90018108,A2420150406,Spain,Rep-04,Customer asked for more information about the premium variant.,Negotiation,0
CRM000029,2018-11-01,90014135,A1420150501,Netherlands,Rep-17,Customer asked for more information about the premium variant.,Prospecting,0
CRM000030,2021-07-01,90008165,A1819150301,Australia,Rep-12,Customer requested a better commercial offer before renewing the purchase.,Qualified,0
CRM000031,2020-09-01,90013121,A2118150102,Italy,Rep-28,Customer is satisfied with the product and is considering expanding the order.,Prospecting,0
CRM000032,2020-06-01,90004065,A2721150706,Japan,Rep-24,Customer raised concerns about product availability and delayed delivery.,Renewal,0
CRM000033,2019-07-01,90005161,A3621150802,Pakistan,Rep-13,Customer requested a better commercial offer before renewing the purchase.,Negotiation,0
