scenario_id,evidence_id,evidence_role,source_dataset,record_id,date,market,product_code,customer_code,metric_name,metric_value,baseline_value,change_value,change_percent,evidence_text,evidence_strength,direction,is_contradictory,calculation_formula
S005,EVID-8d0fe464,OUTCOME,fact_sales_monthly.csv,,2020-03,Indonesia,,,gross_sales,51834.59,415600.68,-363766.08999999997,-87.52778989678265,Gross sales changed by -87.53% from 415600.68 to 51834.59.,STRONG,decrease,False,(current - previous)/previous * 100
S005,EVID-8e6fc4c5,DRIVER,fact_support_tickets.csv,TKT000297,2020-03-01,Indonesia,A0219150201,70003181.0,support_ticket,,,,,Product information ticket: Please provide more information about the product and available variants.,MODERATE,,False,
S005,EVID-b052cadd,DRIVER,fact_support_tickets.csv,TKT001067,2020-03-01,Indonesia,A4821110806,70003181.0,support_ticket,,,,,Positive ticket: The product is performing well and we are considering another order.,MODERATE,,False,
S005,EVID-1c6a4317,DRIVER,fact_support_tickets.csv,TKT001390,2020-03-01,Indonesia,A4620110607,90003179.0,support_ticket,,,,,Delivery ticket: Delivery is taking longer than expected and this is affecting our purchase decision.,MODERATE,,False,
S005,EVID-5ae6e5bc,DRIVER,fact_support_tickets.csv,TKT001903,2020-03-01,Indonesia,A4020150401,70003182.0,support_ticket,,,,,Positive ticket: The product is performing well and we are considering another order.,MODERATE,,False,
S005,EVID-8bb6d2e5,DRIVER,fact_support_tickets.csv,TKT002316,2020-03-01,Indonesia,A5318110108,70003182.0,support_ticket,,,,,Delivery ticket: Delivery is taking longer than expected and this is affecting our purchase decision.,MODERATE,,False,
S005,EVID-2d32ecc9,DRIVER,fact_support_tickets.csv,TKT002892,2020-03-01,Indonesia,A5519110304,90003180.0,support_ticket,,,,,Quality ticket: We need clarification about the product quality and warranty.,MODERATE,,False,
S005,EVID-3cb3eb11,DRIVER,fact_support_tickets.csv,TKT003073,2020-03-01,Indonesia,A3920150305,70003181.0,support_ticket,,,,,Delivery ticket: Delivery is taking longer than expected and this is affecting our purchase decision.,MODERATE,,False,
S005,EVID-401d7b3a,DRIVER,fact_support_tickets.csv,TKT003096,2020-03-01,Indonesia,A3119150301,70003182.0,support_ticket,,,,,Delivery ticket: Delivery is taking longer than expected and this is affecting our purchase decision.,MODERATE,,False,
S005,EVID-f5f6dd2a,DRIVER,fact_support_tickets.csv,TKT004096,2020-03-01,Indonesia,A2219150204,70003181.0,support_ticket,,,,,Delivery ticket: Delivery is taking longer than expected and this is affecting our purchase decision.,MODERATE,,False,
S005,EVID-32554d7e,DRIVER,fact_support_tickets.csv,TKT004526,2020-03-01,Indonesia,A4419110405,90003179.0,support_ticket,,,,,Product information ticket: Please provide more information about the product and available variants.,MODERATE,,False,
S005,EVID-9b04bc76,SUPPORTING,fact_support_tickets.csv,TKT000297,2020-03-01,Indonesia,A0219150201,70003181.0,unstructured_text,,,,,Please provide more information about the product and available variants.,WEAK,,False,
S005,EVID-faeb1136,SUPPORTING,fact_support_tickets.csv,TKT001067,2020-03-01,Indonesia,A4821110806,70003181.0,unstructured_text,,,,,The product is performing well and we are considering another order.,WEAK,,False,
S005,EVID-1adaebfc,SUPPORTING,fact_support_tickets.csv,TKT001390,2020-03-01,Indonesia,A4620110607,90003179.0,unstructured_text,,,,,Delivery is taking longer than expected and this is affecting our purchase decision.,WEAK,,False,
S005,EVID-d8b734cb,SUPPORTING,fact_support_tickets.csv,TKT001903,2020-03-01,Indonesia,A4020150401,70003182.0,unstructured_text,,,,,The product is performing well and we are considering another order.,WEAK,,False,
