ticket_id,date,customer_code,product_code,market,issue_category,sentiment,priority,ticket_text,resolution_time_hours
TKT000001,2019-04-01,90006156,A4620110601,Philiphines,Quality,neutral,Low,We need clarification about the product quality and warranty.,5.1
TKT000002,2019-08-01,80001019,A3421150605,China,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,4.6
TKT000003,2020-03-01,70010047,A4721110704,Bangladesh,Product information,neutral,Low,Please provide more information about the product and available variants.,3.5
TKT000004,2020-07-01,90023026,A4319110302,Canada,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,3.1
TKT000005,2018-12-01,70009134,A1320150403,Newzealand,Quality,neutral,Medium,We need clarification about the product quality and warranty.,14.5
TKT000006,2019-09-01,90014139,A3018150202,Netherlands,Quality,neutral,Low,We need clarification about the product quality and warranty.,3.7
TKT000007,2019-07-01,90019203,A1718150204,Sweden,Delivery,negative,High,Delivery is taking longer than expected and this is affecting our purchase decision.,20.1
TKT000008,2020-04-01,70020104,A3119150302,Austria,Positive,positive,Medium,The product is performing well and we are considering another order.,11.0
TKT000009,2020-01-01,90015148,A4821110805,Norway,Quality,neutral,Low,We need clarification about the product quality and warranty.,4.7
TKT000010,2019-06-01,90011189,A5419110207,France,Positive,positive,Low,The product is performing well and we are considering another order.,9.2
TKT000011,2019-03-01,90014135,A7219160201,Netherlands,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,7.0
TKT000012,2018-10-01,70021096,A4720110701,United Kingdom,Positive,positive,Medium,The product is performing well and we are considering another order.,2.5
TKT000013,2021-03-01,70020104,A2021150503,Austria,Product information,neutral,Medium,Please provide more information about the product and available variants.,12.3
TKT000014,2021-06-01,90010046,A3920150303,Bangladesh,Product information,neutral,Low,Please provide more information about the product and available variants.,2.1
TKT000015,2021-01-01,70019204,A2620150602,Sweden,Product information,neutral,Low,Please provide more information about the product and available variants.,3.3
TKT000016,2019-12-01,90001020,A3521150701,China,Product information,neutral,Low,Please provide more information about the product and available variants.,4.9
TKT000017,2020-03-01,70006157,A3521150702,Philiphines,Positive,positive,Medium,The product is performing well and we are considering another order.,1.1
